Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.741000000000000014e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.905149936676025391e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.733999999999999986e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.745173692703247070e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.736125469207763672e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.746999999999999886e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.726656198501586914e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737999999999999901e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.717196941375732422e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.744000000000000128e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.708076000213623047e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737999999999999901e+01,2.762999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.699684143066406250e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.744000000000000128e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.690747022628784180e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.746999999999999886e+01,2.762999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.681226015090942383e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.741000000000000014e+01,2.762999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.067237186431884766e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.741000000000000014e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.166315627098083496e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.750000000000000000e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.265325736999511719e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.746999999999999886e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.364374661445617676e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.750000000000000000e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.463463807106018066e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.762999999999999901e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.562473583221435547e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.760000000000000142e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.661491394042968750e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.767000000000000171e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.760557603836059570e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.767000000000000171e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.863500070571899414e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.767000000000000171e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.962583827972412109e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.767000000000000171e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.061648774147033691e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.776000000000000156e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.160733485221862793e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.798999999999999844e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.259829759597778320e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.798999999999999844e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.358880400657653809e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.798999999999999844e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
